Branch Code,Branch Name
001,HEADQUARTERS JOY-NOSTALG CENTER
002,GIL PUYAT
003,ANNAPOLIS
004,BINONDO
005,NOVALICHES
007,KALOOKAN - 7TH AVE
008,DEL MONTE
009,VALENZUELA
010,ERMITA
012,ARRANQUE
013,DIVISORIA
014,CONGRESSIONAL
015,PASIG CANIOGAN
016,AYALA ALABANG
017,RUFINO
018,EDSA - CALOOCAN
019,MALABON
020,BGC - TAGUIG
021,LAS PINAS
023,SAMSON ROAD - CALOOCAN
024,MALINTA
025,ANTIPOLO
026,NAVOTAS
027,BGC PICADILLY
028,"ORTIGAS AVE., GREENHILLS"
029,BF HOMES PARANAQUE
030,SALCEDO
031,999 MALL
032,MAYHALIGUE
033,MASANGKAY
034,TIMOG
036,U.N. AVENUE
037,QUEZON AVENUE
038,PASO DE BLAS
039,INTRAMUROS
041,ELCANO
042,BANAWE
043,QUEZON AVE. SOUTH TRIANGLE
044,AYALA AVENUE
046,PLAZA LORENZO RUIZ
047,KALOOKAN - 6TH AVE
048,CAMARIN
049,CUBAO
051,UN ALHAMBRA
052,HERRERA
053,J. ABAD SANTOS
056,N. DOMINGO
057,NEW MANILA
059,ORTIGAS - EMERALD
062,SAN JUAN
063,TUTUBAN CENTER MALL
065,BACLARAN
066,FAIRVIEW
067,PIONEER
068,MALANDAY
069,ST. IGNATIUS
071,PASEO DE ROXAS
072,BANGKAL MAKATI
073,BETTER LIVING PARANAQUE
074,GREENFIELD DISTRICT MANDALUYONG
075,WACK WACK
076,WEST AVENUE
077,CHINO ROCES
078,MAKATI AVE
079,CONCEPCION MARIKINA
080,TIMOG - YBARDOLAZA
081,RAON-QUIAPO
082,TEKTITE
083,NUVO LIBIS
084,STA. CRUZ - MANILA
085,XAVIER SAN JUAN
086,SOLIS - TONDO
087,COMMONWEALTH - DON ANTONIO
088,PARC ROYALE
089,PASONG TAMO EXTENSION
091,TORDESILLAS
092,SOUTH SUPER HIGHWAY
093,SHAW JRU
095,KAMIAS - ANONAS
096,ROOSEVELT-FRISCO
097,PASONG TAMO - PONTE
098,ROXAS BLVD - VITO CRUZ
099,MAYON
101,BINAN
102,IMUS
103,LUCENA
104,ANGELES
105,NAGA
106,SAN FERNANDO PAMPANGA
107,STA. ROSA
108,LEGAZPI
109,CALAMBA
110,CAVITE PEZA
111,LIPA
112,DAGUPAN
113,TARLAC
115,MEYCAUAYAN
116,STA. MARIA
117,DASMARINAS CAVITE
118,SAN FERNANDO LA UNION
120,BACOOR
121,MASINAG
122,MEYCAUAYAN II
124,SANTIAGO ISABELA
126,BALIUAG
127,LAOAG
128,BOCAUE BULACAN
129,"BALIBAGO, ANGELES"
130,MALOLOS
131,CANDON
132,VIGAN
133,TUGUEGARAO
135,CABANATUAN
136,PUERTO PRINCESA
137,LEMERY
138,CAUAYAN
139,STA CRUZ - LAGUNA
140,NAGA CENTRO
141,GAPAN
144,SAN PABLO LAGUNA
145,TRECE MARTIREZ
146,CLARKFIELD
147,SAN JOSE DEL MONTE
148,MARILAO
149,URDANETA
151,GUIGUINTO
152,TAGAYTAY
155,PLARIDEL BULACAN
156,SAN MIGUEL BULACAN
157,SUBIC
158,BUSTOS BULACAN
159,TELABASTAGAN
160,CLARK GLOBAL CITY
161,MARKET ROAD - TAYTAY
201,CEBU IT PARK
202,CEBU MANDAUE
203,ILOILO
204,BACOLOD
205,CEBU MANGO
207,CEBU AS FORTUNA
208,CEBU AYALA BUSINESS PARK
210,CEBU SALINAS
211,TACLOBAN
212,TAGBILARAN
213,ROXAS
214,DUMAGUETE
215,CATBALOGAN
216,ANTIQUE
217,CATARMAN
218,CALBAYOG
220,ORMOC
221,KALIBO
222,ILOILO DONATO PISON
223,BACOLOD - BURGOS
226,MARASBARAS TACLOBAN
301,DAVAO J.P. LAUREL
302,CAGAYAN DE ORO
303,DAVAO MONTEVERDE
304,GENSAN SANTIAGO
305,ZAMBOANGA JALDON
306,GENERAL SANTOS NATIONAL HIGHWAY
307,TAGUM
308,MALAYBALAY
309,DAVAO BUHANGIN
310,PAGADIAN
311,OZAMIS
312,KORONADAL
313,BUTUAN
314,DAVAO MATINA
315,DIPOLOG
316,VALENCIA - BUKIDNON
317,ILIGAN
318,DAVAO TORIL
319,DAVAO DAMOSA
320,CAGAYAN DE ORO - CARMEN
321,ZAMBOANGA - VETERANS
322,CAGAYAN DE ORO - VELEZ
324,DAVAO DIGOS
325,KIDAPAWAN
326,DAVAO AGDAO
327,SURIGAO
328,DAVAO V. MAPA
329,COTABATO
330,SAN FRANCISCO
404,G. ARANETA PALANZA
405,LAGRO
407,PADRE RADA
408,168 MALL
410,6780 AYALA
513,ECHAGUE
517,VISAYAS AVENUE
518,CIVIC DRIVE ALABANG
519,BLUMENTRITT
521,NEW DIVISORIA MALL
522,ZABARTE
523,BGC-39TH ST.
524,NOVALICHES GEN LUIS
525,PASAY - BUENDIA
527,QUIRINO AVE. - PARANAQUE
528,NAVOTAS M. NAVAL
529,DALANDANAN
530,GILMORE
531,OKADA
532,PUTATAN MUNTINLUPA
533,BGC-PSE
534,EASTFIELD MACAPAGAL
535,UPS EAST SERVICE ROAD
536,PACO
537,REGALADO AVENUE
538,EDSA BALINTAWAK
539,MINDANAO AVENUE
540,HEXAGON WEST TRIANGLE
541,KALAYAAN
542,H.V. DELA COSTA BRANCH
543,PASAY EDSA EXTENSION
544,PRITIL
545,MAGINHAWA
546,ASEAN AVE.